id,name,TMDB_ID,year,genre
95,Outer Banks,/tv/100757,2020,"Action & Adventure, Drama, Mystery"
96,Game of Thrones,/tv/1399,2011,"Sci-Fi & Fantasy, Drama, Action & Adventure"
97,The 100,/tv/48866,2014,"Sci-Fi & Fantasy, Drama, Action & Adventure"
98,Utopia,/tv/46511,2013,"Mystery, Drama, Action & Adventure, Sci-Fi & Fantasy, Comedy"
99,DC's Legends of Tomorrow,/tv/62643,2016,"Action & Adventure, Sci-Fi & Fantasy, Drama"
100,Designated Survivor,/tv/67026,2016,"Drama, War & Politics"
101,The Last Ship,/tv/60802,2014,"Action & Adventure, Drama, Sci-Fi & Fantasy"
102,11.22.63,/tv/64464,2016,"Drama, Sci-Fi & Fantasy"
103,Letterkenny,/tv/65798,2016,Comedy
104,Vikings,/tv/44217,2013,"Action & Adventure, Drama, War & Politics"
105,911 Lone Star,/tv/89393,2020,"Drama, Action & Adventure, Crime"
106,Kenan,/tv/116609,2021,"Comedy, Family"
107,Cobra Kai,/tv/77169,2018,"Action & Adventure, Drama, Comedy"
108,Young Justice,/tv/33217,2010,"Animation, Sci-Fi & Fantasy, Action & Adventure"
109,Around the World in 80 Days,/tv/96228,2021,"Action & Adventure, Family"
110,The Equilizer,/tv/62153,2014,Sci-Fi & Fantasy
112,F is for Family,/tv/63522,2015,"Comedy, Animation"
113,Family Guy,/tv/1434,1999,"Animation, Comedy"
114,Elite,/tv/76669,2018,"Crime, Mystery, Drama"
115,Stay Close,/tv/136308,2021,"Drama, Crime, Mystery"
116,The Cleaning Lady,/tv/125282,2022,"Crime, Drama"
117,The Tourist,/tv/120909,2022,"Mystery, Drama"
118,This Is Us,/tv/67136,2016,"Comedy, Drama"
119,FBI International,/tv/121658,2021,"Crime, Drama"
120,Chicago Med,/tv/62650,2015,Drama
121,MacGyver,/tv/67133,2016,"Drama, Action & Adventure"
122,The Conners,/tv/80550,2018,Comedy
123,Gossip Girl,/tv/95249,2021,"Drama, Mystery"
124,The Outpost,/tv/79340,2018,"Sci-Fi & Fantasy, Action & Adventure"
125,The Big Theory,/tv/50133,2013,
126,Bodyguard,/tv/80307,2018,"Crime, Drama, War & Politics"
127,Deadly Class,/tv/75663,2019,"Drama, Crime, Action & Adventure"
128,Blackish,/tv/61381,2014,Comedy
129,Chicago Fire,/tv/44006,2012,Drama
130,Hawaii Five 0,/tv/32798,2010,"Crime, Drama, Action & Adventure"
131,Coroner,/tv/85586,2019,"Drama, Crime, Mystery"
133,Bull,/tv/66840,2016,"Crime, Drama"
134,Young Sheldon,/tv/71728,2017,Comedy
135,Naomi,/tv/125474,2022,"Drama, Sci-Fi & Fantasy"
136,A Discovery of Witches,/tv/77236,2018,"Sci-Fi & Fantasy, Drama"
137,Screw,/tv/153425,2022,Drama
138,68 Whiskey,/tv/88947,2020,"Drama, Comedy"
139,Altered Carbon,/tv/68421,2018,Sci-Fi & Fantasy
140,American Crime Story,/tv/64513,2016,"Crime, Drama"
141,Dark,/tv/70523,2017,"Sci-Fi & Fantasy, Drama, Mystery, Crime"
142,Banshee,/tv/41727,2013,"Crime, Drama"
143,Spartacus,/tv/46296,2010,Drama
144,A Million Little Things,/tv/81499,2018,Drama
145,Wolf Like Me,/tv/136738,2022,"Comedy, Sci-Fi & Fantasy"
146,Archive 81,/tv/112314,2022,"Drama, Mystery, Sci-Fi & Fantasy"
147,Peacemaker,/tv/110492,2022,"Action & Adventure, Sci-Fi & Fantasy, Drama"
148,Euphoria,/tv/85552,2019,"Drama, Crime"
149,After Life,/tv/79410,2019,"Comedy, Drama"
150,Attack on Titan,/tv/1429,2013,"Sci-Fi & Fantasy, Animation, Action & Adventure"
151,New Amsterdam,/tv/80350,2018,Drama
151,New Amsterdam,/tv/1144,2008,"Drama, Sci-Fi & Fantasy"
152,How I Met Your Father,/tv/124010,2022,Comedy
154,The Book of Boba Fett,/tv/115036,2021,"Action & Adventure, Sci-Fi & Fantasy"
155,Good Sam,/tv/125952,2022,Drama
156,Shannara Chronicles,/tv/64122,2016,"Action & Adventure, Sci-Fi & Fantasy"
157,Ozark,/tv/69740,2017,"Crime, Drama"
158,Jaguar,/tv/127425,2021,"Drama, War & Politics"
159,The Hardy Boys,/tv/112945,2020,"Drama, Mystery"
160,The Flight Attendant,/tv/93287,2020,"Drama, Mystery, Comedy"
161,The Mandalorian,/tv/82856,2019,"Sci-Fi & Fantasy, Action & Adventure, Drama"
162,Dracula,/tv/86850,2020,"Drama, Action & Adventure"
163,Soulmates,/tv/100771,2020,"Sci-Fi & Fantasy, Crime"
164,Equinox,/tv/113600,2020,"Sci-Fi & Fantasy, Drama"
166,Billions,/tv/62852,2016,Drama
167,The Righteous Gemstones,/tv/82782,2019,Comedy
168,Trigger Point,/tv/127716,2022,"Crime, Drama"
169,The Gilded Age,/tv/81723,2022,Drama
170,Ghosts,/tv/126027,2021,Comedy
172,Snowpiercer,/tv/79680,2020,Sci-Fi & Fantasy
173,Two Sentence Horror Stories,/tv/90961,2019,Mystery
174,In From the Cold,/tv/146173,2022,"Drama, Sci-Fi & Fantasy, Action & Adventure"
175,All of Us Are Dead,/tv/99966,2022,"Action & Adventure, Drama, Sci-Fi & Fantasy"
176,The Afterparty,/tv/106454,2022,"Mystery, Comedy, Crime"
177,The Responder,/tv/155346,2022,"Drama, Crime"
178,The Woman in the House Across the Street from the Girl in the Window,/tv/111838,2022,"Mystery, Crime, Drama, Comedy"
179,Resident Alien,/tv/96580,2021,Sci-Fi & Fantasy
181,Raising Dion,/tv/93392,2019,"Drama, Sci-Fi & Fantasy"
182,Reacher,/tv/108978,2022,"Action & Adventure, Crime, Drama"
183,SKAM,/tv/65320,2015,Drama
184,Servant,/tv/88055,2019,Drama
185,Raised by Wolves,/tv/85723,2020,"Sci-Fi & Fantasy, Drama"
186,Power Book IV: Force,/tv/119845,2022,"Crime, Drama"
187,Murderville,/tv/155594,2022,"Comedy, Crime"
188,Love Death & Robots,/tv/86831,2019,"Animation, Sci-Fi & Fantasy"
189,Chloe,/tv/156507,2022,"Mystery, Drama"
190,Jane the Virgin,/tv/61418,2014,"Comedy, Drama"
191,Abbott Elementary,/tv/125935,2021,Comedy
193,Neymar: The Perfect Chaos,/tv/153519,2022,Documentary
194,Women Of Movement,/tv/111263,2022,Drama
195,Single Drunk Female,/tv/136739,2022,"Drama, Comedy"
196,Promised Land,/tv/130980,2022,Drama
197,Super Crooks,/tv/127599,2021,"Animation, Crime, Sci-Fi & Fantasy, Action & Adventure"
198,Suspicion,/tv/100414,2022,"Drama, Crime"
199,Somebody Somewhere,/tv/106308,2022,"Comedy, Drama"
200,Person of Interest,/tv/1411,2011,"Drama, Action & Adventure, Crime, Sci-Fi & Fantasy"
201,Dollface,/tv/84584,2019,Comedy
202,Inventing Anna,/tv/95665,2022,Drama
203,Bel-Air,/tv/107365,2022,Drama
204,The Last Kingdom,/tv/63333,2015,"Action & Adventure, Drama, War & Politics"
205,Scandal,/tv/39269,2012,Drama
206,Space Force,/tv/85922,2020,Comedy
207,Snowdrop,/tv/108291,2021,"Drama, Soap, War & Politics"
208,Young Wallander,/tv/91545,2020,"Drama, Mystery, Crime"
209,Severance,/tv/95396,2022,"Drama, Mystery, Sci-Fi & Fantasy"
210,The Marvelous Mrs. Maisel,/tv/70796,2017,"Comedy, Drama"
211,The Walking Dead,/tv/1402,2010,"Action & Adventure, Drama, Sci-Fi & Fantasy"
212,Scream,/tv/62823,2015,"Drama, Crime, Mystery"
213,Treadstone,/tv/83949,2019,Action & Adventure
214,Beauty and the Beast,/tv/44606,2012,"Drama, Sci-Fi & Fantasy"
215,From,/tv/124364,2022,"Mystery, Drama, Sci-Fi & Fantasy"
216,Super Pumped,/tv/126301,2022,Drama
217,Vikings: Valhalla,/tv/116135,2022,"Action & Adventure, Drama, War & Politics"
218,Black Lightning,/tv/71663,2018,"Action & Adventure, Sci-Fi & Fantasy, Drama"
219,The Endgame,/tv/134375,2022,"Crime, Drama"
220,Star Trek Picard,/tv/85949,2020,"Sci-Fi & Fantasy, Action & Adventure"
221,The Dropout,/tv/122066,2022,Drama
222,Kung-Fu,/tv/114165,2021,"Action & Adventure, Drama"
223,Good Trouble,/tv/80006,2019,Drama
224,Theodosia,/tv/139061,2022,"Action & Adventure, Sci-Fi & Fantasy, Mystery"
225,Snowfall,/tv/71694,2017,"Crime, Drama"
225,Snowfall,/tv/68913,2016,"Family, Kids"
226,The Last Days of Ptolemy Grey,/tv/155493,2022,Drama
227,Formula 1: Drive to Survive,/tv/87083,2019,Documentary
228,Walker,/tv/99121,2021,"Crime, Drama, Action & Adventure"
229,The Office,/tv/2996,2001,Comedy
230,Charmed,/tv/1981,1998,"Comedy, Drama, Mystery, Sci-Fi & Fantasy"
230,Charmed,/tv/79611,2018,"Drama, Sci-Fi & Fantasy"
231,B Positive,/tv/104714,2020,Comedy
233,Peaky Blinders,/tv/60574,2013,"Drama, Crime"
234,All American: Homecoming,/tv/153723,2022,Drama
235,All American,/tv/82428,2018,Drama
236,Minx,/tv/118303,2022,Comedy
237,DMZ,/tv/113566,2022,"Drama, Sci-Fi & Fantasy"
238,Our Flag Means Death,/tv/109939,2022,"Comedy, Action & Adventure, Drama"
240,Law & Order: Organized Crime,/tv/106158,2021,"Crime, Drama"
242,That Dirty Black Bag,/tv/157084,2022,"Western, Drama"
243,Bridgerton,/tv/91239,2020,Drama
244,Pachinko,/tv/110382,2022,Drama
245,Halo,/tv/52814,2022,"Action & Adventure, Sci-Fi & Fantasy"
246,Marvel Studios Assembled,/tv/118924,2021,Documentary
247,Pieces of Her,/tv/99002,2022,"Crime, Mystery, Drama"
248,Parallels,/tv/118906,2022,"Action & Adventure, Sci-Fi & Fantasy"
